,ALITO,BREYER,GINSBURG,KAGAN,KENNEDY,ROBERTS,SOTOMAYOR,THOMAS,PET_VOTES,RES_VOTES,VICTOR
14-1055,Petitioner,Respondent,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Respondent,6,2,Petitioner
14-1538,Respondent,Petitioner,Petitioner,Respondent,Respondent,Petitioner,Respondent,Petitioner,4,4,Respondent
14-9496,Petitioner,Petitioner,Respondent,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,7,1,Petitioner
15-1031,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Respondent,Respondent,Petitioner,6,2,Petitioner
15-1111,Respondent,Respondent,Petitioner,Respondent,Petitioner,Petitioner,Petitioner,Petitioner,5,3,Petitioner
15-118,Respondent,Petitioner,Petitioner,Respondent,Petitioner,Respondent,Petitioner,Petitioner,5,3,Petitioner
15-1189,Respondent,Petitioner,Respondent,Respondent,Petitioner,Petitioner,Respondent,Petitioner,4,4,Respondent
15-1191,Respondent,Respondent,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Respondent,5,3,Petitioner
15-1194,Petitioner,Petitioner,Respondent,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,7,1,Petitioner
15-1204,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,8,0,Petitioner
15-1248,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,8,0,Petitioner
15-1251,Respondent,Respondent,Petitioner,Petitioner,Petitioner,Respondent,Petitioner,Respondent,4,4,Respondent
15-1262,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Respondent,Petitioner,7,1,Petitioner
15-1293,Petitioner,Petitioner,Petitioner,Respondent,Petitioner,Petitioner,Petitioner,Petitioner,7,1,Petitioner
15-1358,Petitioner,Respondent,Petitioner,Petitioner,Petitioner,Petitioner,Respondent,Respondent,5,3,Petitioner
15-1391,Respondent,Respondent,Petitioner,Respondent,Respondent,Respondent,Petitioner,Respondent,2,6,Respondent
15-1406,Petitioner,Respondent,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Respondent,6,2,Petitioner
15-1498,Petitioner,Petitioner,Petitioner,Petitioner,Respondent,Petitioner,Respondent,Petitioner,6,2,Petitioner
15-1500,Petitioner,Petitioner,Respondent,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,7,1,Petitioner
15-214,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,8,0,Petitioner
15-423,Petitioner,Petitioner,Respondent,Petitioner,Respondent,Petitioner,Petitioner,Petitioner,6,2,Petitioner
15-497,Petitioner,Petitioner,Respondent,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,7,1,Petitioner
15-513,Respondent,Petitioner,Petitioner,Petitioner,Petitioner,Respondent,Respondent,Petitioner,5,3,Petitioner
15-537,Petitioner,Petitioner,Respondent,Petitioner,Petitioner,Petitioner,Respondent,Respondent,5,3,Petitioner
15-5991,Petitioner,Respondent,Respondent,Respondent,Petitioner,Petitioner,Respondent,Respondent,3,5,Respondent
15-606,Petitioner,Petitioner,Respondent,Petitioner,Petitioner,Petitioner,Respondent,Petitioner,6,2,Petitioner
15-628,Respondent,Petitioner,Respondent,Respondent,Petitioner,Petitioner,Petitioner,Petitioner,5,3,Petitioner
15-649,Respondent,Respondent,Respondent,Respondent,Petitioner,Petitioner,Petitioner,Respondent,3,5,Respondent
15-680,Petitioner,Petitioner,Respondent,Petitioner,Petitioner,Petitioner,Respondent,Petitioner,6,2,Petitioner
15-7250,Respondent,Petitioner,Petitioner,Respondent,Petitioner,Petitioner,Petitioner,Petitioner,6,2,Petitioner
15-777,Petitioner,Respondent,Petitioner,Respondent,Petitioner,Petitioner,Respondent,Respondent,4,4,Respondent
15-797,Respondent,Respondent,Petitioner,Respondent,Petitioner,Petitioner,Petitioner,Respondent,4,4,Respondent
15-8049,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Respondent,Respondent,6,2,Petitioner
15-827,Respondent,Petitioner,Respondent,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,6,2,Petitioner
15-8544,Respondent,Respondent,Petitioner,Respondent,Petitioner,Petitioner,Petitioner,Respondent,4,4,Respondent
15-866,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,8,0,Petitioner
15-9260,Petitioner,Respondent,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Respondent,6,2,Petitioner
15-927,Respondent,Respondent,Petitioner,Respondent,Respondent,Petitioner,Respondent,Respondent,2,6,Respondent
16-1256,,,,,,,,,0,0,Respondent
16-149,Petitioner,Respondent,Petitioner,Petitioner,Petitioner,Petitioner,Respondent,Respondent,5,3,Petitioner
16-254,Respondent,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,7,1,Petitioner
16-32,Respondent,Petitioner,Petitioner,Petitioner,Respondent,Respondent,Petitioner,Petitioner,5,3,Petitioner
16-348,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,Petitioner,8,0,Petitioner
16-369,Petitioner,Respondent,Respondent,Petitioner,Petitioner,Respondent,Respondent,Respondent,3,5,Respondent
16-54,Respondent,Petitioner,Petitioner,Petitioner,Petitioner,Respondent,Petitioner,Petitioner,6,2,Petitioner
